time,ax,ay,az,latitude,longitude,temperature,wet,timestamp
2020-07-16 20:28:46.900,-0.01129150390625,1.07794189453125,-0.20556640625,26.080815,-80.110575,32.5,True,1594931326.9
2020-07-16 20:28:47.900,0.0010986328125,1.0777587890625,-0.21771240234375,26.080815,-80.110575,32.5078125,True,1594931327.9
2020-07-16 20:28:48.900,-0.01922607421875,1.07373046875,-0.2032470703125,26.080815,-80.110576,32.546875,False,1594931328.9
2020-07-16 20:28:49.800,-0.01568603515625,1.0721435546875,-0.1939697265625,26.080814,-80.110576,32.5625,False,1594931329.8
2020-07-16 20:28:50.800,-0.0208740234375,1.06890869140625,-0.2039794921875,26.080814,-80.110577,32.5390625,False,1594931330.8
2020-07-16 20:28:51.800,-0.00726318359375,1.0733642578125,-0.20721435546875,26.080814,-80.110577,32.5546875,True,1594931331.8
2020-07-16 20:28:52.700,-0.01434326171875,1.0762939453125,-0.21539306640625,26.080815,-80.110578,32.546875,True,1594931332.7
2020-07-16 20:28:53.700,0.00408935546875,1.07293701171875,-0.20855712890625,26.080814,-80.110579,32.546875,True,1594931333.7
2020-07-16 20:28:54.700,-0.00543212890625,1.07110595703125,-0.22357177734375,,,32.5546875,True,1594931334.7
2020-07-16 20:28:55.700,-0.0189208984375,1.0765380859375,-0.23870849609375,,,32.5546875,True,1594931335.7
2020-07-16 20:28:56.600,6.103515625e-05,1.08367919921875,-0.17120361328125,26.080815,-80.11058100000001,32.5390625,True,1594931336.6
2020-07-16 20:28:57.600,-0.033447265625,1.064697265625,-0.16461181640625,26.080814,-80.11058299999999,32.5546875,True,1594931337.6
2020-07-16 20:28:58.600,0.00494384765625,1.0732421875,-0.23590087890625,26.080815,-80.110584,32.5625,True,1594931338.6
2020-07-16 20:28:59.500,-0.0323486328125,1.07220458984375,-0.17645263671875,26.080816,-80.110584,32.5703125,True,1594931339.5
2020-07-16 20:29:00.500,0.00714111328125,1.0830078125,-0.2354736328125,26.080817,-80.110584,32.5625,True,1594931340.5
